基因名,在共享基因中,在HVG并集中,在HVG交集中,HVG样本数,HVG比例
HPS6,True,True,False,3,0.09375
TNC,True,True,False,5,0.15625
NR1H2,True,True,False,3,0.09375
NUP93,True,True,False,6,0.1875
HNRNPUL2,True,True,False,1,0.03125
MARS,True,True,False,4,0.125
SUGP1,True,True,False,14,0.4375
DEAF1,True,True,False,1,0.03125
WDR13,True,True,False,9,0.28125
FLNA,True,False,False,0,0.0
ELN,True,True,False,3,0.09375
MX2,True,True,False,2,0.0625
COQ4,True,True,False,1,0.03125
LARP7,True,True,False,7,0.21875
TXNDC17,True,True,False,8,0.25
MIIP,True,True,False,5,0.15625
AQP1,True,True,False,14,0.4375
POSTN,True,True,False,6,0.1875
PSCA,True,True,False,2,0.0625
FAM117A,True,True,False,1,0.03125
AKT1S1,True,True,False,2,0.0625
DVL1,True,True,False,1,0.03125
SPIN1,True,False,False,0,0.0
LUC7L,True,True,False,9,0.28125
TTC31,True,True,False,1,0.03125
CIR1,True,True,False,5,0.15625
GAR1,True,True,False,1,0.03125
RALGAPA2,True,True,False,3,0.09375
TIMP1,True,True,False,12,0.375
GNAI2,True,True,False,3,0.09375
WDR73,True,True,False,1,0.03125
UXS1,True,True,False,2,0.0625
CNN2,True,True,False,2,0.0625
C1QB,True,True,False,4,0.125
CCDC106,True,False,False,0,0.0
ARHGAP10,True,True,False,5,0.15625
ATL2,True,True,False,1,0.03125
UBL7,True,True,False,8,0.25
NDUFA12,True,True,False,2,0.0625
PTRF,True,True,False,5,0.15625
PPP1R1A,True,True,False,17,0.53125
KAT6B,True,True,False,5,0.15625
CORO1A,True,True,False,6,0.1875
EZH2,True,True,False,2,0.0625
CSF1,True,False,False,0,0.0
CD79A,True,True,False,4,0.125
SDHB,True,True,False,10,0.3125
GATC,True,True,False,1,0.03125
TMEM160,True,True,False,6,0.1875
UXT,True,True,False,14,0.4375
ZNF787,True,True,False,4,0.125
ATF6B,True,True,False,3,0.09375
SNRPD3,True,True,False,7,0.21875
ZNF217,True,True,False,3,0.09375
SLC35A2,True,True,False,4,0.125
MMP9,True,True,False,15,0.46875
ECHDC2,True,True,False,7,0.21875
PEX11G,True,False,False,0,0.0
SF3B4,True,True,False,3,0.09375
SYDE1,True,True,False,1,0.03125
IGKC,True,True,False,6,0.1875
RASGRP2,True,True,False,9,0.28125
RND3,True,True,False,6,0.1875
PNISR,True,True,False,14,0.4375
HSPB1,True,True,False,6,0.1875
UBR2,True,True,False,6,0.1875
TESK1,True,True,False,2,0.0625
STAMBP,True,True,False,3,0.09375
DPYSL3,True,True,False,5,0.15625
CPSF1,True,True,False,7,0.21875
ZMYND19,True,False,False,0,0.0
COMP,True,True,False,7,0.21875
TBCA,True,True,False,7,0.21875
PPHLN1,True,True,False,3,0.09375
MYL6B,True,True,False,6,0.1875
AHCY,True,False,False,0,0.0
TRAP1,True,True,False,13,0.40625
R3HDM2,True,True,False,11,0.34375
TMEM123,True,False,False,0,0.0
TOM1L2,True,False,False,0,0.0
VPS13D,True,True,False,2,0.0625
CD3D,True,True,False,21,0.65625
MID1IP1,True,True,False,1,0.03125
DPP7,True,True,False,2,0.0625
LTBP3,True,True,False,1,0.03125
GANAB,True,False,False,0,0.0
HLA-DOA,True,True,False,3,0.09375
FAM193B,True,False,False,0,0.0
BRPF1,True,True,False,1,0.03125
ITGB6,True,True,False,5,0.15625
GBP5,True,True,False,6,0.1875
CADM4,True,True,False,1,0.03125
ARID1B,True,True,False,2,0.0625
CEP250,True,True,False,3,0.09375
PTRH1,True,True,False,5,0.15625
GPSM1,True,False,False,0,0.0
DLG1,True,True,False,3,0.09375
MLLT4,True,True,False,4,0.125
APBB2,True,True,False,4,0.125
C19orf24,True,True,False,3,0.09375
CCS,True,False,False,0,0.0
DHX16,True,True,False,7,0.21875
CRACR2B,True,True,False,4,0.125
CRABP2,True,True,False,5,0.15625
MEN1,True,False,False,0,0.0
ARHGEF40,True,True,False,2,0.0625
NDUFV3,True,True,False,6,0.1875
HMGB2,True,False,False,0,0.0
ZFPL1,True,True,False,3,0.09375
POLR2E,True,True,False,2,0.0625
DAPK3,True,True,False,3,0.09375
FAM213B,True,True,False,3,0.09375
RNF135,True,True,False,1,0.03125
FDPS,True,True,False,5,0.15625
GPS1,True,False,False,0,0.0
DDAH1,True,True,False,3,0.09375
CSF1R,True,True,False,4,0.125
CHCHD6,True,True,False,13,0.40625
ARID3A,True,True,False,2,0.0625
RABGAP1L,True,True,False,2,0.0625
PHF11,True,True,False,6,0.1875
IDH3G,True,True,False,1,0.03125
SLC43A1,True,True,False,2,0.0625
PER1,True,True,False,3,0.09375
CORO7,True,True,False,1,0.03125
DNAJC1,True,True,False,7,0.21875
KMT2B,True,False,False,0,0.0
PSMD4,True,True,False,4,0.125
ADCY3,True,True,False,2,0.0625
